District_Name,Crop,Season,Area,Crop_Year,Production,Predicted_Production,Predicted_Yield
NICOBARS,Arecanut,Kharif     ,1254.0,2000,2000.0,1207.8442,0.9631931724730861
NICOBARS,Rice,Kharif     ,102.0,2000,321.0,100.92869,0.9894969416599647
NICOBARS,Banana,Whole Year ,176.0,2000,641.0,215.5106,1.224492073059082
NICOBARS,Cashewnut,Whole Year ,720.0,2000,165.0,893.12054,1.2404452006022135
NICOBARS,Dry ginger,Whole Year ,36.0,2000,100.0,48.125843,1.336828973558214
NICOBARS,Sugarcane,Whole Year ,1.0,2000,2.0,2.0418732,2.0418732166290283
NICOBARS,Sweet potato,Whole Year ,5.0,2000,15.0,7.9752526,1.5950505256652832
NICOBARS,Tapioca,Whole Year ,40.0,2000,169.0,48.125843,1.2031460762023927
NICOBARS,Arecanut,Kharif     ,1254.0,2001,2061.0,1207.8442,0.9631931724730861
NICOBARS,Rice,Kharif     ,83.0,2001,300.0,80.0021,0.9638806998011578
NICOBARS,Cashewnut,Whole Year ,719.0,2001,192.0,893.12054,1.2421704373207145
NICOBARS,Dry ginger,Whole Year ,46.0,2001,100.0,60.255005,1.3098914104959238
NICOBARS,Sugarcane,Whole Year ,1.0,2001,1.0,2.0418732,2.0418732166290283
NICOBARS,Sweet potato,Whole Year ,11.0,2001,33.0,15.391074,1.3991885618730024
NICOBARS,Rice,Kharif     ,189.2,2002,510.84,175.31427,0.9266081924922371
NICOBARS,Arecanut,Whole Year ,1258.0,2002,2083.0,1719.2028,1.3666158654921006
NICOBARS,Banana,Whole Year ,213.0,2002,1278.0,254.46397,1.1946665445963542
NICOBARS,Black pepper,Whole Year ,63.0,2002,13.5,81.934105,1.3005413479275174
NICOBARS,Cashewnut,Whole Year ,719.0,2002,208.0,893.12054,1.2421704373207145
NICOBARS,Dry chillies,Whole Year ,413.0,2002,28.8,496.45544,1.2020712937916163
NICOBARS,Dry ginger,Whole Year ,47.3,2002,133.0,60.255005,1.2738901666556555
NICOBARS,Sugarcane,Whole Year ,5.0,2002,40.0,7.9752526,1.5950505256652832
NICOBARS,Rice,Kharif     ,52.0,2003,90.17,59.93332,1.1525638286884015
NICOBARS,Arecanut,Whole Year ,1261.0,2003,1525.0,1754.1823,1.3911040848347045
NICOBARS,Banana,Whole Year ,266.0,2003,1763.0,323.9458,1.2178413563204886
NICOBARS,Black pepper,Whole Year ,75.5,2003,15.86,99.47244,1.3175157963834851
NICOBARS,Cashewnut,Whole Year ,717.0,2003,208.5,862.6695,1.203165264475462
NICOBARS,Dry chillies,Whole Year ,60.0,2003,102.0,82.37807,1.372967783610026
NICOBARS,Dry ginger,Whole Year ,102.0,2003,326.4,133.8476,1.312231325635723
NICOBARS,Rice,Kharif     ,52.94,2004,72.57,59.93332,1.1320989628220037
NICOBARS,Arecanut,Whole Year ,1264.7,2004,805.85,1754.1823,1.3870342776757827
NICOBARS,Banana,Whole Year ,66.42,2004,404.12,84.490875,1.2720697868735416
NICOBARS,Black pepper,Whole Year ,85.0,2004,15.86,119.693985,1.4081645292394303
NICOBARS,Cashewnut,Whole Year ,683.5,2004,197.9,860.4577,1.2588993454816662
NICOBARS,Dry chillies,Whole Year ,60.0,2004,145.2,82.37807,1.372967783610026
NICOBARS,Dry ginger,Whole Year ,118.0,2004,366.0,144.74915,1.2266876737950212
NICOBARS,Rice,Kharif     ,2.09,2005,12.06,2.4207194,1.1582389402617679
NICOBARS,Banana,Whole Year ,22.0,2005,582.0,29.116922,1.32349647175182
NICOBARS,Black pepper,Whole Year ,41.0,2005,0.1,49.60132,1.2097882526676829
NICOBARS,Cashewnut,Whole Year ,450.0,2005,55.8,578.8335,1.286296657986111
NICOBARS,Turmeric,Whole Year ,10.0,2005,70.0,14.212023,1.4212022781372071
NICOBARS,Arecanut,Whole Year ,896.0,2006,477.6,1237.3073,1.3809232711791992
NICOBARS,Banana,Whole Year ,198.0,2006,976.0,242.13046,1.2228811244771938
NICOBARS,Black pepper,Whole Year ,22.16,2006,0.68,29.116922,1.3139405405478357
NICOBARS,Cashewnut,Whole Year ,450.0,2006,85.13,578.8335,1.286296657986111
NICOBARS,Dry chillies,Whole Year ,3.0,2006,9.0,5.2133536,1.7377845446268718
NICOBARS,Dry ginger,Whole Year ,6.0,2006,21.0,8.740541,1.4567569096883137
NICOBARS,Sugarcane,Whole Year ,0.2,2006,0.5,1.0459408,5.229703783988953
NICOBARS,Sweet potato,Whole Year ,18.0,2006,86.0,25.99699,1.4442772335476346
NICOBARS,Tapioca,Whole Year ,52.03,2006,450.0,75.99228,1.4605473583074067
NICOBARS,Turmeric,Whole Year ,2.5,2006,1.03,3.4872265,1.394890594482422
NICOBARS,Rice,Autumn     ,3.5,2010,10.0,3.1611412,0.9031831877572196
NICOBARS,Sugarcane,Autumn     ,13.4,2010,41.75,14.485806,1.081030333220069
NICOBARS,Arecanut,Rabi       ,944.0,2010,1610.0,1315.845,1.39390357066009
NICOBARS,Black pepper,Rabi       ,23.0,2010,8.5,33.284767,1.4471637891686482
NICOBARS,Cashewnut,Rabi       ,1000.5,2010,260.5,1432.3015,1.4315857208114693
NICOBARS,Dry chillies,Rabi       ,12.0,2010,25.0,16.81476,1.401230017344157
NICOBARS,Dry ginger,Rabi       ,7.0,2010,9.64,9.870743,1.4101061139787947
NICOBARS,Maize,Rabi       ,3.84,2010,18.22,4.600385,1.19801697631677
NICOBARS,Sweet potato,Rabi       ,22.0,2010,208.0,30.15931,1.3708776994185015
NICOBARS,Turmeric,Rabi       ,2.0,2010,0.5,3.247641,1.6238205432891846
NICOBARS,Urad,Rabi       ,1.5,2010,1.16,2.1315994,1.4210662841796875
NICOBARS,Banana,Whole Year ,593.0,2010,3425.0,734.5044,1.2386246113511805
NICOBARS,Tapioca,Whole Year ,69.0,2010,575.0,97.15932,1.4081060437188633
NORTH AND MIDDLE ANDAMAN,Arecanut,Kharif     ,3100.0,2000,5200.0,3155.9202,1.0180387632308467
NORTH AND MIDDLE ANDAMAN,Rice,Kharif     ,10779.0,2000,31863.0,10607.745,0.9841121734101029
NORTH AND MIDDLE ANDAMAN,Banana,Whole Year ,1531.0,2000,12073.0,2253.2373,1.4717421977057479
NORTH AND MIDDLE ANDAMAN,Cashewnut,Whole Year ,80.0,2000,54.0,96.82816,1.2103520393371583
NORTH AND MIDDLE ANDAMAN,Dry ginger,Whole Year ,352.0,2000,1120.0,410.4761,1.1661252975463867
NORTH AND MIDDLE ANDAMAN,Sugarcane,Whole Year ,141.0,2000,3736.0,187.3873,1.3289879332197474
NORTH AND MIDDLE ANDAMAN,Sweet potato,Whole Year ,78.0,2000,843.0,96.82816,1.24138670701247
NORTH AND MIDDLE ANDAMAN,Tapioca,Whole Year ,160.0,2000,2108.0,204.95033,1.2809395790100098
NORTH AND MIDDLE ANDAMAN,Arecanut,Kharif     ,3100.0,2001,5239.0,3155.9202,1.0180387632308467
NORTH AND MIDDLE ANDAMAN,Rice,Kharif     ,9718.0,2001,27033.0,8941.855,0.9201333061072237
NORTH AND MIDDLE ANDAMAN,Cashewnut,Whole Year ,81.0,2001,33.0,104.22112,1.286680527675299
NORTH AND MIDDLE ANDAMAN,Dry ginger,Whole Year ,344.0,2001,1124.0,395.93604,1.1509768463844476
NORTH AND MIDDLE ANDAMAN,Sugarcane,Whole Year ,81.0,2001,2379.0,104.22112,1.286680527675299
NORTH AND MIDDLE ANDAMAN,Sweet potato,Whole Year ,100.0,2001,5.0,130.42204,1.3042204284667969
NORTH AND MIDDLE ANDAMAN,Rice,Kharif     ,6854.3,2006,18995.62,6926.2305,1.0104942107509154
NORTH AND MIDDLE ANDAMAN,Arecanut,Whole Year ,1160.0,2006,3011.7,1747.9208,1.5068282554889547
NORTH AND MIDDLE ANDAMAN,Banana,Whole Year ,957.57,2006,8582.0,1336.4092,1.3956255727388076
NORTH AND MIDDLE ANDAMAN,Black pepper,Whole Year ,175.0,2006,191.14,220.448,1.2597028459821429
NORTH AND MIDDLE ANDAMAN,Cashewnut,Whole Year ,40.5,2006,44.0,49.60132,1.2247239101080247
NORTH AND MIDDLE ANDAMAN,Dry chillies,Whole Year ,235.72,2006,824.3,281.23715,1.1930983883404436
NORTH AND MIDDLE ANDAMAN,Dry ginger,Whole Year ,98.66,2006,929.0,131.0922,1.3287268761759135
NORTH AND MIDDLE ANDAMAN,Sugarcane,Whole Year ,71.3,2006,1500.0,92.99333,1.3042543044765735
NORTH AND MIDDLE ANDAMAN,Sweet potato,Whole Year ,30.0,2006,240.0,40.287987,1.342932891845703
NORTH AND MIDDLE ANDAMAN,Tapioca,Whole Year ,255.0,2006,1420.0,320.39102,1.2564353793275123
NORTH AND MIDDLE ANDAMAN,Turmeric,Whole Year ,68.0,2006,408.0,84.490875,1.242512871237362
NORTH AND MIDDLE ANDAMAN,Rice,Autumn     ,6791.0,2010,20118.0,6931.4897,1.020687637475151
NORTH AND MIDDLE ANDAMAN,Sugarcane,Autumn     ,73.33,2010,889.2,85.61031,1.1674664314131644
NORTH AND MIDDLE ANDAMAN,Arecanut,Rabi       ,1296.0,2010,2290.0,1710.6044,1.3199107794114102
NORTH AND MIDDLE ANDAMAN,Black pepper,Rabi       ,168.0,2010,13.5,228.47809,1.3599886213030135
NORTH AND MIDDLE ANDAMAN,Cashewnut,Rabi       ,84.5,2010,39.0,129.988,1.5383196046366494
NORTH AND MIDDLE ANDAMAN,Dry chillies,Rabi       ,254.0,2010,402.0,356.11703,1.4020355705201157
NORTH AND MIDDLE ANDAMAN,Dry ginger,Rabi       ,110.0,2010,1011.84,149.86539,1.362412608753551
NORTH AND MIDDLE ANDAMAN,Groundnut,Rabi       ,4.75,2010,6.8,6.2677455,1.3195253673352694
NORTH AND MIDDLE ANDAMAN,Maize,Rabi       ,86.7,2010,96.4,129.988,1.4992849664567114
NORTH AND MIDDLE ANDAMAN,Sweet potato,Rabi       ,109.0,2010,480.0,149.86539,1.3749118069989965
NORTH AND MIDDLE ANDAMAN,Turmeric,Rabi       ,68.0,2010,376.5,91.75825,1.3493859908160042
NORTH AND MIDDLE ANDAMAN,Urad,Rabi       ,1059.5,2010,458.79,1432.3015,1.351865515499646
NORTH AND MIDDLE ANDAMAN,Banana,Whole Year ,657.0,2010,7968.0,900.0624,1.3699579572750191
NORTH AND MIDDLE ANDAMAN,Tapioca,Whole Year ,186.5,2010,1355.0,229.9909,1.2331952051566688
SOUTH ANDAMANS,Rice,Kharif     ,10695.8,2002,31600.82,9426.341,0.8813123675005611
SOUTH ANDAMANS,Arecanut,Whole Year ,3105.0,2002,5267.0,4649.9272,1.4975611098530597
SOUTH ANDAMANS,Banana,Whole Year ,1524.0,2002,10882.0,2253.2373,1.478502168430118
SOUTH ANDAMANS,Black pepper,Whole Year ,487.0,2002,102.5,572.74274,1.1760631146127438
SOUTH ANDAMANS,Cashewnut,Whole Year ,81.0,2002,24.0,104.22112,1.286680527675299
SOUTH ANDAMANS,Dry chillies,Whole Year ,239.0,2002,20.9,274.84888,1.1499953010591004
SOUTH ANDAMANS,Dry ginger,Whole Year ,352.0,2002,1145.0,410.4761,1.1661252975463867
SOUTH ANDAMANS,Sugarcane,Whole Year ,455.0,2002,13760.0,565.78973,1.2434939206301512
SOUTH ANDAMANS,Rice,Kharif     ,10509.37,2003,30760.7,10095.498,0.9606187665744949
SOUTH ANDAMANS,Arecanut,Whole Year ,3118.0,2003,5182.0,4744.5605,1.5216679111209108
SOUTH ANDAMANS,Banana,Whole Year ,1530.0,2003,11558.0,2299.0823,1.5026681538500817
SOUTH ANDAMANS,Black pepper,Whole Year ,497.0,2003,104.37,610.1352,1.2276362029599472
SOUTH ANDAMANS,Cashewnut,Whole Year ,116.5,2003,26.14,144.74915,1.2424819356893777
SOUTH ANDAMANS,Dry chillies,Whole Year ,340.0,2003,578.0,405.13873,1.191584508559283
SOUTH ANDAMANS,Dry ginger,Whole Year ,406.0,2003,1299.2,507.90076,1.2509870858028018
SOUTH ANDAMANS,Sugarcane,Whole Year ,268.0,2003,2879.52,333.62927,1.2448853450034982
SOUTH ANDAMANS,Rice,Kharif     ,10681.98,2004,29119.66,10095.498,0.9450961382510547
SOUTH ANDAMANS,Arecanut,Whole Year ,3160.67,2004,3975.2,4744.5605,1.5011249345471054
SOUTH ANDAMANS,Banana,Whole Year ,1912.1,2004,17374.4,2761.596,1.4442738074711705
SOUTH ANDAMANS,Black pepper,Whole Year ,570.0,2004,104.36,699.9068,1.2279066654673794
SOUTH ANDAMANS,Cashewnut,Whole Year ,116.5,2004,25.1,144.74915,1.2424819356893777
SOUTH ANDAMANS,Dry chillies,Whole Year ,340.0,2004,822.8,405.13873,1.191584508559283
SOUTH ANDAMANS,Dry ginger,Whole Year ,410.0,2004,1462.0,507.90076,1.238782333746189
SOUTH ANDAMANS,Sugarcane,Whole Year ,145.26,2004,1560.0,192.76875,1.3270601201415244
SOUTH ANDAMANS,Rice,Kharif     ,8683.38,2005,25870.98,8561.362,0.9859481336400688
SOUTH ANDAMANS,Arecanut,Whole Year ,3250.78,2005,3058.46,4925.9746,1.5153208181959406
SOUTH ANDAMANS,Banana,Whole Year ,1656.8,2005,10251.13,2567.413,1.5496216115025954
SOUTH ANDAMANS,Black pepper,Whole Year ,656.45,2005,35.95,856.15015,1.3042122728073349
SOUTH ANDAMANS,Cashewnut,Whole Year ,118.5,2005,30.22,144.74915,1.2215117764372363
SOUTH ANDAMANS,Dry chillies,Whole Year ,370.7,2005,877.6,440.18405,1.1874401173824438
SOUTH ANDAMANS,Dry ginger,Whole Year ,200.0,2005,1800.0,245.84369,1.2292184448242187
SOUTH ANDAMANS,Sugarcane,Whole Year ,128.02,2005,2448.2,167.45444,1.3080334108409573
SOUTH ANDAMANS,Sweet potato,Whole Year ,131.9,2005,700.35,167.45444,1.2695560064886988
SOUTH ANDAMANS,Tapioca,Whole Year ,254.5,2005,1480.0,320.39102,1.2589038181867018
SOUTH ANDAMANS,Turmeric,Whole Year ,81.7,2005,572.0,107.0673,1.3104932544572847
SOUTH ANDAMANS,Rice,Kharif     ,921.87,2006,2539.64,1011.95325,1.0977179505465113
SOUTH ANDAMANS,Arecanut,Whole Year ,2000.0,2006,2350.0,3077.8726,1.538936279296875
SOUTH ANDAMANS,Banana,Whole Year ,483.0,2006,4150.0,584.39594,1.2099294721710017
SOUTH ANDAMANS,Black pepper,Whole Year ,413.1,2006,20.18,507.90076,1.2294862184360627
SOUTH ANDAMANS,Cashewnut,Whole Year ,79.5,2006,26.0,99.47244,1.251225693420794
SOUTH ANDAMANS,Dry chillies,Whole Year ,124.6,2006,34.7,158.39511,1.271228820898751
SOUTH ANDAMANS,Dry ginger,Whole Year ,100.9,2006,900.0,133.8476,1.3265371180856664
SOUTH ANDAMANS,Sugarcane,Whole Year ,53.5,2006,999.5,75.99228,1.4204164308922314
SOUTH ANDAMANS,Sweet potato,Whole Year ,30.4,2006,220.0,40.287987,1.3252627222161544
SOUTH ANDAMANS,Tapioca,Whole Year ,40.0,2006,160.0,49.60132,1.240032958984375
SOUTH ANDAMANS,Turmeric,Whole Year ,10.0,2006,60.0,14.212023,1.4212022781372071
SOUTH ANDAMANS,Rice,Autumn     ,1595.5,2010,3788.0,1766.0782,1.1069120946852475
SOUTH ANDAMANS,Sugarcane,Autumn     ,67.5,2010,402.0,74.36542,1.1017098885995371
SOUTH ANDAMANS,Arecanut,Rabi       ,1912.0,2010,1900.0,2550.5632,1.3339765859947046
SOUTH ANDAMANS,Black pepper,Rabi       ,409.0,2010,98.0,562.1973,1.3745655908561278
SOUTH ANDAMANS,Cashewnut,Rabi       ,15.0,2010,10.5,21.928715,1.461914316813151
SOUTH ANDAMANS,Dry chillies,Rabi       ,128.0,2010,148.0,181.43079,1.4174280166625977
SOUTH ANDAMANS,Dry ginger,Rabi       ,94.0,2010,828.52,142.36647,1.5145369184778092
SOUTH ANDAMANS,Groundnut,Rabi       ,15.5,2010,7.6,21.928715,1.4147557904643397
SOUTH ANDAMANS,Maize,Rabi       ,73.0,2010,253.0,105.63314,1.447029322794039
SOUTH ANDAMANS,Sweet potato,Rabi       ,32.0,2010,235.0,44.421894,1.3881841897964478
SOUTH ANDAMANS,Turmeric,Rabi       ,10.0,2010,105.0,13.742256,1.3742256164550781
SOUTH ANDAMANS,Urad,Rabi       ,34.0,2010,15.05,48.860912,1.4370856565587662
SOUTH ANDAMANS,Banana,Whole Year ,360.0,2010,5517.0,460.96243,1.280451202392578
SOUTH ANDAMANS,Tapioca,Whole Year ,22.5,2010,220.0,30.526667,1.35674073961046
ANANTAPUR,Bajra,Kharif     ,1400.0,1997,500.0,1285.3027,0.9180733816964286
ANANTAPUR,Dry chillies,Kharif     ,3700.0,1997,7100.0,3580.1394,0.9676052444045609
ANANTAPUR,Groundnut,Kharif     ,650800.0,1997,228400.0,238435.03,0.3663722053626306
ANANTAPUR,Jowar,Kharif     ,10100.0,1997,10200.0,9051.375,0.8961757425742575
ANANTAPUR,Maize,Kharif     ,2800.0,1997,4900.0,2718.588,0.9709242466517857
ANANTAPUR,Ragi,Kharif     ,6700.0,1997,11800.0,6102.498,0.910820604011194
ANANTAPUR,Rice,Kharif     ,35600.0,1997,75400.0,31935.158,0.8970550057057585
ANANTAPUR,Sugarcane,Kharif     ,700.0,1997,72900.0,677.1126,0.9673037283761161
ANANTAPUR,Tobacco,Kharif     ,200.0,1997,200.0,200.89484,1.0044741821289063
ANANTAPUR,Dry chillies,Rabi       ,100.0,1997,100.0,126.748116,1.2674811553955079
ANANTAPUR,Groundnut,Rabi       ,20200.0,1997,21700.0,19680.648,0.9742895266089109
ANANTAPUR,Jowar,Rabi       ,18800.0,1997,9400.0,18818.111,1.0009633685172872
ANANTAPUR,Maize,Rabi       ,600.0,1997,2400.0,678.6583,1.1310972086588542
ANANTAPUR,Ragi,Rabi       ,600.0,1997,1000.0,678.6583,1.1310972086588542
ANANTAPUR,Rice,Rabi       ,18000.0,1997,37300.0,18818.111,1.0454506293402779
ANANTAPUR,Wheat,Rabi       ,300.0,1997,200.0,366.59814,1.2219938151041667
ANANTAPUR,Bajra,Kharif     ,2600.0,1998,1900.0,2599.5913,0.9998428109975962
ANANTAPUR,Dry chillies,Kharif     ,4000.0,1998,10000.0,4011.9563,1.0029890747070314
